business_status,formatted_address,name,place_id,rating,types,latitude,longitude,state
OPERATIONAL,"Av LIC.Adolfo López M.Ote 1001, San Luís, 20250 Aguascalientes, Ags., Mexico",BBVA Aguascalientes Quijote,ChIJkySim3PuKYQR6VtatBtbYKY,3.2,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.877871,-102.2737974,Aguascalientes
OPERATIONAL,"Av, 5 de Mayo 112, 20000 Aguascalientes, Ags., Mexico",BBVA Bancomer AGS Office Center,ChIJQeb3zXzuKYQRL0tIOCJIxj4,3.9,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8815281,-102.2969801,Aguascalientes
OPERATIONAL,"Av Aguascalientes Sur 603, Cd Industrial, México, 20235 Aguascalientes, Ags., Mexico",BBVA Aguascalientes,ChIJkfpGScXtKYQR3SfdWyirAw0,3.4,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8598681,-102.2798972,Aguascalientes
OPERATIONAL,"Avenida Universidad 117, Bosques del Prado Sur, 20120 Aguascalientes, Ags., Mexico",BBVA Bosques,ChIJuSceueLuKYQRGVX2q-UOtJ8,3.0,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.9147169,-102.3126106,Aguascalientes
OPERATIONAL,"Agropecuario, Av Aguascalientes Nte 1698, 20138 Aguascalientes, Ags., Mexico",BBVA Aguascalientes Pulgas Pandas,ChIJIxqo6FTuKYQR_nCSHsOk7Rc,3.5,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.9152157,-102.2969577,Aguascalientes
OPERATIONAL,"Blvd. A Zacatecas 849, Trojes de Alonso, 20116 Aguascalientes, Ags., Mexico",BBVA Altaria,ChIJC8MlD67vKYQRiL7_n3QCGbc,2.9,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.9245323,-102.2897871,Aguascalientes
OPERATIONAL,"Av. José Ma. Chávez 1010, Lindavista, 20270 Aguascalientes, Ags., Mexico",BBVA Boulevard,ChIJ68qwbdbtKYQR5vvqYCuYGLU,3.2,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8686951,-102.2943638,Aguascalientes
OPERATIONAL,"Av. Monte Blanco LB, Desarrollo Especial Colegio Cristóbal Colón, 20115 Aguascalientes, Ags., Mexico",Bancomer,ChIJ9zRxggfvKYQREK8-DEtHrDc,2.6,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.9256012,-102.3011423,Aguascalientes
OPERATIONAL,"Zona 1, Av. de la Convención de 1914 Nte., 20010 Aguascalientes, Ags., Mexico",BBVA Plaza San Marcos,ChIJiSzQZfLuKYQRvlek_hOR8IQ,2.3,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8954318,-102.3102319,Aguascalientes
OPERATIONAL,"Av. de los Maestros 2615, Pirules, 20210 Aguascalientes, Ags., Mexico",BBVA,ChIJcbwq3STsKYQRoH05RuIl3E4,2.9,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8588144,-102.3166823,Aguascalientes
OPERATIONAL,"Av Siglo XXI 1302, Balcones de Ojocaliente, 20190 Aguascalientes, Ags., Mexico",BBVA Haciendas De Ags,ChIJIdCaQ-PxKYQR32HjEJmxpHM,2.3,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.861416,-102.2490132,Aguascalientes
OPERATIONAL,"Av. Convención de 1914 Pte. No. 101, Centro, 20000 Aguascalientes, Ags., Mexico",BBVA Expoplaza,ChIJuUImuIbuKYQRhZrjiL2TB-g,3.5,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8746297,-102.3116278,Aguascalientes
OPERATIONAL,"Av. Convención de 1914 Pte., Barrio de San Marcos, 20070 Aguascalientes, Ags., Mexico",BBVA,ChIJEbS1VoPuKYQRpJYDdnlfr7Q,2.9,"['atm', 'finance', 'point_of_interest', 'establishment']",21.8962219,-102.3113928,Aguascalientes
OPERATIONAL,"Av Aguascalientes Sur 603, Desarrollo Especial Quinta Real, 20276 Aguascalientes, Ags., Mexico",ATM / CASHIER BANCOMER SUC. AGUASCALIENTES,ChIJkfpGScXtKYQRGjWqzuVqjbY,2.3,"['atm', 'finance', 'point_of_interest', 'establishment']",21.8586844,-102.2878142,Aguascalientes
OPERATIONAL,"Av Tecnológico No. 120, Ojocaliente, 20198 Aguascalientes, Ags., Mexico",BBVA,ChIJmYod5QPuKYQRa5q_pj9Z6jc,2.9,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8782632,-102.2603356,Aguascalientes
OPERATIONAL,"Av. Morelos 123, Centro Histórico, 20400 Rincón de Romos, Ags., Mexico",BBVA Rincón De Romos,ChIJSXmEVjgJgoYRESqTOi0BU8o,4.2,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",22.2290481,-102.3210995,Aguascalientes
OPERATIONAL,"Av Siglo XXI 1302, Nazario Ortiz Garza, 20170 Aguascalientes, Ags., Mexico",BBVA 1000,ChIJIY8dCG7vKYQRJGwlS85Cf-U,3.1,"['atm', 'finance', 'point_of_interest', 'establishment']",21.9060833,-102.2572872,Aguascalientes
OPERATIONAL,"Plaza Principal 102, Zona Centro, 20800 Calvillo, Ags., Mexico",BBVA Calvillo,ChIJl0zcgQPMKYQRgTo7qLcU4J8,3.5,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",21.8465961,-102.7191455,Aguascalientes
OPERATIONAL,"Av Independencia 2301, Desarrollo Especial Galerías, 20120 Aguascalientes, Ags., Mexico",Atm/Cajero BBVA Walmart Aguascalientes,ChIJ9faLXKnvKYQRfMeEAm8LyVQ,2.3,"['atm', 'finance', 'point_of_interest', 'establishment']",21.9236016,-102.2959997,Aguascalientes
OPERATIONAL,"Av Aguascalientes Nte 802, Desarrollo Especial Bulevar a Zacatecas, 20126 Aguascalientes, Ags., Mexico",Atm/Cajero BBVA Costco Aguascalientes,ChIJpS_Ma03uKYQRoGRlu69_nQo,3.9,"['atm', 'finance', 'point_of_interest', 'establishment']",21.9161,-102.288,Aguascalientes
OPERATIONAL,"Medellín 310, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",BBVA Baja California,ChIJX7qrxRX_0YUR5gh9KO2-kds,3.5,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",19.4064046,-99.16304290000001,Baja California
OPERATIONAL,"And. Juan M. de Salvatierra Loreto s/n, Centro, 23880 Loreto, B.C.S., Mexico",BBVA,ChIJ63AH5oU7tIYRCLSPP34ZJ-w,2.9,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",26.0105026,-111.3422116,Baja California Sur
OPERATIONAL,"Agustín Olacheaa S/N, Real, Centro, 23680 Cd Constitución, B.C.S., Mexico",BBVA,ChIJdd9dK8qks4YRz3tgqUq01QE,3.7,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",25.0284295,-111.6716345,Baja California Sur
